GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.projetogs.mylibrary.dto,UserDTO,0,33,0,0,0,1,0,1,0,1
,com.projetogs.mylibrary.dto,BookDTO,0,18,0,0,0,1,0,1,0,1
,com.projetogs.mylibrary.dto,ZipCodeResponseDTO,0,45,0,0,0,19,0,13,0,13
,com.projetogs.mylibrary.dto,BookDTOGet,0,21,0,0,0,1,0,1,0,1
,com.projetogs.mylibrary.dto,UserLoginDTO,0,9,0,0,0,1,0,1,0,1
,com.projetogs.mylibrary.config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
,com.projetogs.mylibrary.entities,User,0,92,0,0,0,40,0,24,0,24
,com.projetogs.mylibrary.entities,Book,4,48,0,0,2,20,1,14,1,14
,com.projetogs.mylibrary.security,SecurityConfig,0,182,0,0,0,29,0,9,0,9
,com.projetogs.mylibrary.security,UserSystem,0,52,0,0,0,18,0,11,0,11
,com.projetogs.mylibrary.security,SwaggerConfig,0,3,0,0,0,1,0,1,0,1
,com.projetogs.mylibrary.controller,UserController.responseLogin,0,9,0,0,0,1,0,1,0,1
,com.projetogs.mylibrary.controller,BookController,0,75,0,2,0,18,0,6,0,5
,com.projetogs.mylibrary.controller,UserController,3,67,2,2,1,18,2,4,0,4
,com.projetogs.mylibrary.enums,ReadingStatus,0,21,0,0,0,4,0,1,0,1
,com.projetogs.mylibrary.service,ZipCodeService,8,53,2,6,2,12,2,4,0,2
,com.projetogs.mylibrary.service,UserSystemService,0,21,0,0,0,4,0,3,0,3
,com.projetogs.mylibrary.service,UserService,0,80,0,0,0,24,0,2,0,2
,com.projetogs.mylibrary.service,BookService,0,170,0,4,0,47,0,12,0,10
